12:28:33.303 [main] INFO  com.ntu.center.CenterClientApplication - Starting CenterClientApplication on LAPTOP-6SA701DM with PID 18320 (C:\Users\Lenovo\Desktop\datasync\datasync_center_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
13:52:30.660 [main] INFO  com.ntu.center.CenterClientApplication - Starting CenterClientApplication on LAPTOP-6SA701DM with PID 16116 (C:\Users\Lenovo\Desktop\datasync\datasync_center_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
13:52:30.702 [main] INFO  com.ntu.center.CenterClientApplication - No active profile set, falling back to default profiles: default
13:52:33.786 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
13:52:33.810 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
13:52:33.810 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
13:52:33.811 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
13:52:34.103 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:52:34.103 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3054 ms
13:52:35.376 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
13:52:35.544 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
13:52:36.101 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
13:52:42.727 [main] INFO  com.ntu.center.CenterClientStart - 中央数据库节点成功连接至MQTT服务器.....
13:52:42.730 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
13:52:42.776 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
13:52:42.784 [main] INFO  com.ntu.center.CenterClientApplication - Started CenterClientApplication in 13.797 seconds (JVM running for 17.232)
13:52:44.666 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13:52:45.179 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
13:52:45.366 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 445 号数据同步成功 同步时间：Thu May 21 13:52:45 CST 2020
13:52:45.684 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 446 号数据同步成功 同步时间：Thu May 21 13:52:45 CST 2020
13:52:46.699 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 447 号数据同步成功 同步时间：Thu May 21 13:52:46 CST 2020
13:52:47.702 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 448 号数据同步成功 同步时间：Thu May 21 13:52:47 CST 2020
13:52:48.707 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 449 号数据同步成功 同步时间：Thu May 21 13:52:48 CST 2020
13:52:49.702 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 450 号数据同步成功 同步时间：Thu May 21 13:52:49 CST 2020
13:52:50.663 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 451 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:53:01.674 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 440 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:53:02.707 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 441 号数据同步成功 同步时间：Thu May 21 13:53:02 CST 2020
13:53:03.710 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 442 号数据同步成功 同步时间：Thu May 21 13:53:03 CST 2020
13:53:04.714 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 443 号数据同步成功 同步时间：Thu May 21 13:53:04 CST 2020
13:53:05.715 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 444 号数据同步成功 同步时间：Thu May 21 13:53:05 CST 2020
13:54:36.728 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 206 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:37.731 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 207 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:38.732 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 208 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:39.735 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 209 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:40.739 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 210 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:41.746 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 211 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:42.733 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 212 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:43.738 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 213 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:44.735 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 214 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:45.738 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 215 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:46.737 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 216 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:47.739 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 217 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:48.738 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 218 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:49.745 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 219 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:50.739 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 220 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:51.746 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 221 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:52.777 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 222 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:53.744 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 223 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:54.744 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 224 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:55.756 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 225 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:56.746 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 226 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:57.746 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 227 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:58.751 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 228 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:54:59.747 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 229 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:55:00.756 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 230 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:55:01.751 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 231 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:55:02.750 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 232 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:55:03.754 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 233 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:55:04.759 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 234 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:55:05.754 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 235 号数据新增失败,失败原因：中央数据库中已存在此条数据
13:55:06.757 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 236 号数据新增失败,失败原因：中央数据库中已存在此条数据
14:01:44.036 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 237 号数据同步成功 同步时间：Thu May 21 14:01:44 CST 2020
14:01:45.038 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 238 号数据同步成功 同步时间：Thu May 21 14:01:45 CST 2020
14:01:46.044 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 239 号数据同步成功 同步时间：Thu May 21 14:01:46 CST 2020
14:01:47.046 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 240 号数据同步成功 同步时间：Thu May 21 14:01:47 CST 2020
14:01:48.043 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 241 号数据同步成功 同步时间：Thu May 21 14:01:48 CST 2020
14:01:49.042 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 242 号数据同步成功 同步时间：Thu May 21 14:01:49 CST 2020
14:01:50.045 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 243 号数据同步成功 同步时间：Thu May 21 14:01:50 CST 2020
14:01:51.043 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 244 号数据同步成功 同步时间：Thu May 21 14:01:51 CST 2020
14:01:52.045 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 245 号数据同步成功 同步时间：Thu May 21 14:01:52 CST 2020
14:01:53.069 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 246 号数据同步成功 同步时间：Thu May 21 14:01:53 CST 2020
14:01:54.047 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 247 号数据同步成功 同步时间：Thu May 21 14:01:54 CST 2020
14:01:55.049 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 248 号数据同步成功 同步时间：Thu May 21 14:01:55 CST 2020
14:01:56.047 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 249 号数据同步成功 同步时间：Thu May 21 14:01:56 CST 2020
14:01:57.051 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 250 号数据同步成功 同步时间：Thu May 21 14:01:57 CST 2020
14:01:58.048 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 251 号数据同步成功 同步时间：Thu May 21 14:01:58 CST 2020
14:01:59.050 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 252 号数据同步成功 同步时间：Thu May 21 14:01:59 CST 2020
14:02:00.076 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 253 号数据同步成功 同步时间：Thu May 21 14:02:00 CST 2020
14:02:01.054 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 254 号数据同步成功 同步时间：Thu May 21 14:02:01 CST 2020
14:02:02.052 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 255 号数据同步成功 同步时间：Thu May 21 14:02:02 CST 2020
14:02:03.053 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 256 号数据同步成功 同步时间：Thu May 21 14:02:03 CST 2020
14:02:04.055 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 257 号数据同步成功 同步时间：Thu May 21 14:02:04 CST 2020
14:02:05.056 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 258 号数据同步成功 同步时间：Thu May 21 14:02:05 CST 2020
14:02:06.056 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 259 号数据同步成功 同步时间：Thu May 21 14:02:06 CST 2020
14:02:07.059 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 260 号数据同步成功 同步时间：Thu May 21 14:02:07 CST 2020
14:02:08.057 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 261 号数据同步成功 同步时间：Thu May 21 14:02:08 CST 2020
14:02:09.063 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 262 号数据同步成功 同步时间：Thu May 21 14:02:09 CST 2020
14:02:10.059 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 263 号数据同步成功 同步时间：Thu May 21 14:02:10 CST 2020
14:02:11.058 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 264 号数据同步成功 同步时间：Thu May 21 14:02:11 CST 2020
14:02:12.062 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 265 号数据同步成功 同步时间：Thu May 21 14:02:12 CST 2020
14:02:13.067 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 266 号数据同步成功 同步时间：Thu May 21 14:02:13 CST 2020
14:02:14.060 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 267 号数据同步成功 同步时间：Thu May 21 14:02:14 CST 2020
14:07:34.217 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 237 号数据同步成功 同步时间：Thu May 21 14:07:34 CST 2020
14:07:35.219 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 238 号数据同步成功 同步时间：Thu May 21 14:07:35 CST 2020
14:07:36.222 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 239 号数据同步成功 同步时间：Thu May 21 14:07:36 CST 2020
14:07:37.222 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 240 号数据同步成功 同步时间：Thu May 21 14:07:37 CST 2020
14:07:38.221 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 241 号数据同步成功 同步时间：Thu May 21 14:07:38 CST 2020
14:07:39.222 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 242 号数据同步成功 同步时间：Thu May 21 14:07:39 CST 2020
14:07:40.222 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 243 号数据同步成功 同步时间：Thu May 21 14:07:40 CST 2020
14:07:41.232 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 244 号数据同步成功 同步时间：Thu May 21 14:07:41 CST 2020
14:07:42.226 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 245 号数据同步成功 同步时间：Thu May 21 14:07:42 CST 2020
14:07:43.227 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 246 号数据同步成功 同步时间：Thu May 21 14:07:43 CST 2020
14:07:44.228 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 247 号数据同步成功 同步时间：Thu May 21 14:07:44 CST 2020
14:07:45.233 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 248 号数据同步成功 同步时间：Thu May 21 14:07:45 CST 2020
14:07:46.330 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 249 号数据同步成功 同步时间：Thu May 21 14:07:46 CST 2020
14:07:47.229 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 250 号数据同步成功 同步时间：Thu May 21 14:07:47 CST 2020
14:07:48.234 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 251 号数据同步成功 同步时间：Thu May 21 14:07:48 CST 2020
14:07:49.235 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 MONITOR_DATA 表中的 252 号数据同步成功 同步时间：Thu May 21 14:07:49 CST 2020
